iter	Passed	Remaining
0	48	24430
1	70	17456
2	100	16574
3	120	14902
4	132	13153
5	147	12127
6	174	12287
7	195	12023
8	224	12267
9	255	12515
10	284	12654
11	305	12431
12	333	12492
13	342	11880
14	370	11979
15	392	11860
16	418	11898
17	439	11764
18	465	11791
19	485	11661
20	513	11715
21	535	11633
22	569	11811
23	593	11764
24	625	11876
25	647	11799
26	676	11850
27	702	11834
28	733	11914
29	757	11873
30	787	11914
31	812	11881
32	840	11896
33	868	11901
34	899	11951
35	920	11867
36	951	11901
37	970	11804
38	999	11816
39	1020	11736
40	1049	11744
41	1071	11682
42	1099	11680
43	1120	11607
44	1148	11609
45	1169	11541
46	1197	11537
47	1225	11540
48	1259	11592
49	1281	11531
50	1310	11533
51	1330	11464
52	1358	11455
53	1383	11424
54	1411	11424
55	1432	11357
56	1459	11343
57	1480	11282
58	1510	11289
59	1532	11237
60	1560	11231
61	1583	11183
62	1611	11177
63	1632	11122
64	1660	11114
65	1683	11067
66	1713	11071
67	1735	11024
68	1763	11016
69	1785	10965
70	1813	10958
71	1834	10903
72	1861	10889
73	1881	10833
74	1911	10830
75	1930	10771
76	1957	10751
77	1977	10696
78	2004	10681
79	2024	10630
80	2052	10615
81	2072	10565
82	2099	10546
83	2119	10496
84	2146	10480
85	2168	10437
86	2194	10416
87	2215	10373
88	2246	10373
89	2275	10364
90	2305	10362
91	2327	10323
92	2356	10314
93	2366	10222
94	2397	10222
95	2419	10183
96	2447	10168
97	2467	10123
98	2495	10108
99	2517	10070
100	2545	10057
101	2568	10022
102	2597	10010
103	2635	10035
104	2693	10132
105	2722	10121
106	2751	10104
107	2772	10062
108	2800	10044
109	2821	10003
110	2848	9983
111	2868	9937
112	2895	9915
113	2914	9869
114	2942	9850
115	2963	9810
116	2991	9792
117	3012	9751
118	3039	9732
119	3060	9692
120	3088	9674
121	3109	9633
122	3137	9617
123	3158	9577
124	3186	9558
125	3206	9516
126	3234	9501
127	3254	9458
128	3282	9439
129	3302	9398
130	3329	9379
131	3349	9338
132	3376	9315
133	3395	9274
134	3424	9257
135	3445	9220
136	3485	9234
137	3517	9227
138	3548	9214
139	3568	9175
140	3596	9157
141	3621	9129
142	3650	9114
143	3670	9075
144	3697	9051
145	3717	9013
146	3745	8994
147	3766	8957
148	3794	8937
149	3813	8898
150	3841	8878
151	3860	8839
152	3887	8817
153	3907	8780
154	3934	8758
155	3954	8719
156	3981	8697
157	4001	8661
158	4028	8639
159	4048	8602
160	4074	8579
161	4095	8544
162	4121	8521
163	4141	8484
164	4167	8461
165	4187	8425
166	4216	8407
167	4236	8372
168	4264	8352
169	4284	8316
170	4311	8295
171	4330	8258
172	4357	8236
173	4379	8205
174	4407	8184
175	4428	8152
176	4455	8130
177	4476	8097
178	4502	8074
179	4522	8039
180	4548	8016
181	4569	7983
182	4596	7961
183	4616	7927
184	4643	7906
185	4673	7889
186	4703	7872
187	4723	7839
188	4750	7816
189	4770	7783
190	4797	7762
191	4817	7728
192	4844	7705
193	4864	7672
194	4891	7650
195	4911	7617
196	4939	7597
197	4960	7565
198	4987	7544
199	5008	7512
200	5034	7489
201	5055	7458
202	5082	7436
203	5102	7403
204	5129	7381
205	5150	7350
206	5176	7327
207	5196	7294
208	5227	7278
209	5247	7246
210	5274	7224
211	5294	7192
212	5321	7170
213	5341	7138
